Ticker,AAPL,AMZN,BAC,CVX,GOOGL,JNJ,JPM,MSFT,PFE,XOM
AAPL,1.0,0.38913786985847537,0.14610647836793067,0.08299387861182608,0.44344280297024447,0.03932675668808228,0.13672641772089167,0.5066138779195778,0.08941721155545647,0.035329725704982794
AMZN,0.38913786985847537,1.0,0.1856865597413065,0.01795374019580051,0.576614818153604,-0.05578272284591345,0.18141740741338228,0.6227419306279163,0.07035478691972907,-0.06523007533634059
BAC,0.14610647836793067,0.1856865597413065,1.0,0.4150545264860259,0.1543904920021732,0.2113522295114549,0.7227623032414098,0.13194498979999872,0.17391307715346938,0.36532401260177116
CVX,0.08299387861182608,0.01795374019580051,0.4150545264860259,1.0,0.05684752464233855,0.18179887880399578,0.41184358040375396,0.002510769740204111,0.13212003934315616,0.7895807116548574
GOOGL,0.44344280297024447,0.576614818153604,0.1543904920021732,0.05684752464233855,1.0,-0.021781273898675197,0.14948830825516723,0.5349291262033607,0.05954666503928374,-0.05342894031228242
JNJ,0.03932675668808228,-0.05578272284591345,0.2113522295114549,0.18179887880399578,-0.021781273898675197,1.0,0.20692528535771434,-0.01711274002227465,0.4046895767647161,0.1514235179081517
JPM,0.13672641772089167,0.18141740741338228,0.7227623032414098,0.41184358040375396,0.14948830825516723,0.20692528535771434,1.0,0.1193727841267613,0.16490172618938734,0.3419462102869115
MSFT,0.5066138779195778,0.6227419306279163,0.13194498979999872,0.002510769740204111,0.5349291262033607,-0.01711274002227465,0.1193727841267613,1.0,0.11512007906195858,-0.09516771556986747
PFE,0.08941721155545647,0.07035478691972907,0.17391307715346938,0.13212003934315616,0.05954666503928374,0.4046895767647161,0.16490172618938734,0.11512007906195858,1.0,0.11644268699768225
XOM,0.035329725704982794,-0.06523007533634059,0.36532401260177116,0.7895807116548574,-0.05342894031228242,0.1514235179081517,0.3419462102869115,-0.09516771556986747,0.11644268699768225,1.0
